run_id,destruction_pct,protocol,accuracy
13,40,ours,100.0
14,40,ours,99.50083023784548
15,40,ours,100.0
16,40,ours,80.02961377299917
17,40,ours,78.08448464702658
18,40,ours,73.20652831722765
19,40,ours,76.38819579977526
20,40,ours,91.87765530803009
21,40,ours,89.0774787670289
22,40,ours,69.34601830977634
23,40,ours,100.0
24,40,ours,95.31650876427526
25,40,ours,100.0
26,40,ours,100.0
27,40,ours,71.96050219736537
28,40,ours,100.0
29,40,ours,86.09265354821967
30,40,ours,100.0
1,60,ours,86.82350133315279
2,60,ours,100.0
3,60,ours,82.1309113930576
4,60,ours,100.0
5,60,ours,84.36836515782512
6,60,ours,96.2205188527333
7,60,ours,85.73833898712971
8,60,ours,72.32273162934796
9,60,ours,92.96533154195438
10,60,ours,86.27343334694346
11,60,ours,59.6736250917255
12,60,ours,75.20187788860325
13,60,ours,83.40435912582124
14,60,ours,69.52898398941223
15,60,ours,76.4397754451755
16,60,ours,83.34863566235009
17,60,ours,100.0
18,60,ours,99.0947728315035
19,60,ours,74.78473061757009
20,60,ours,100.0
21,60,ours,75.72518489160889
22,60,ours,90.98438896766328
23,60,ours,98.30591638891018
24,60,ours,59.617691031474294
25,60,ours,68.08190157984987
26,60,ours,77.67423921008765
27,60,ours,87.32313664334507
28,60,ours,80.9161508496999
29,60,ours,94.2685710484825
30,60,ours,58.38371499409639
1,0,tbcp,51.13159717997914
2,0,tbcp,68.95228333108776
3,0,tbcp,93.90269254504302
4,0,tbcp,99.62162791396695
5,0,tbcp,83.59431935305781
6,0,tbcp,85.81667669292466
7,0,tbcp,89.86665500483431
8,0,tbcp,78.14659449325596
9,0,tbcp,81.25597306097812
10,0,tbcp,87.82091452568154
11,0,tbcp,68.01177588638664
12,0,tbcp,58.54821701947635
13,0,tbcp,100.0
14,0,tbcp,100.0
15,0,tbcp,95.61479774817855
16,0,tbcp,97.21008387336559
17,0,tbcp,100.0
18,0,tbcp,80.87051591307241
19,0,tbcp,83.154841907163
20,0,tbcp,96.28516834946592
21,0,tbcp,74.57830703537961
22,0,tbcp,100.0
23,0,tbcp,96.43570213492018
24,0,tbcp,77.37708775181683
25,0,tbcp,91.16833382700288
26,0,tbcp,81.67178866580817
27,0,tbcp,83.63167227630622
28,0,tbcp,87.8187090412794
29,0,tbcp,99.26406348684803
30,0,tbcp,98.52875777291854
1,20,tbcp,77.10901594471875
2,20,tbcp,100.0
3,20,tbcp,84.58645151561733
4,20,tbcp,61.90968304247471
5,20,tbcp,96.65954026580779
6,20,tbcp,63.79265514699952
7,20,tbcp,83.54278102031668
8,20,tbcp,100.0
9,20,tbcp,100.0
10,20,tbcp,85.52048759159393
11,20,tbcp,82.73800750479086
12,20,tbcp,87.68250695963319
13,20,tbcp,59.15255645813662
14,20,tbcp,100.0
15,20,tbcp,76.78226701095869
16,20,tbcp,100.0
17,20,tbcp,87.78469799358592
18,20,tbcp,100.0
19,20,tbcp,100.0
20,20,tbcp,100.0
21,20,tbcp,100.0
22,20,tbcp,78.39309922267303
23,20,tbcp,100.0
24,20,tbcp,75.26725557539436
25,20,tbcp,69.56932154906687
26,20,tbcp,81.83988332563237
27,20,tbcp,74.43331958115137
28,20,tbcp,75.7609713706609
29,20,tbcp,96.79441407833181
30,20,tbcp,80.40064412011178
1,40,tbcp,78.07481105390463
2,40,tbcp,81.25221627525613
3,40,tbcp,72.21785694045965
4,40,tbcp,100.0
5,40,tbcp,100.0
6,40,tbcp,100.0
7,40,tbcp,71.4378927567305
8,40,tbcp,76.97789204750984
9,40,tbcp,80.87612072939618
10,40,tbcp,82.6093004718976
11,40,tbcp,75.35361475691579
12,40,tbcp,75.4480886935002
13,40,tbcp,100.0
14,40,tbcp,91.6830282996438
15,40,tbcp,99.09267966741274
16,40,tbcp,100.0
17,40,tbcp,70.67907837771821
18,40,tbcp,64.27718440719755
19,40,tbcp,100.0
20,40,tbcp,91.44460865688937
21,40,tbcp,100.0
22,40,tbcp,78.05999218158149
23,40,tbcp,92.37569696211855
24,40,tbcp,77.91284293931986
25,40,tbcp,68.2695782640505
26,40,tbcp,73.87392425944628
27,40,tbcp,44.199681211185876
28,40,tbcp,84.83480154740995
29,40,tbcp,75.06616844019013
30,40,tbcp,85.16714310102542
1,60,tbcp,100.0
2,60,tbcp,98.71560624035052
3,60,tbcp,79.970690423975
4,60,tbcp,100.0
5,60,tbcp,86.05408083737112
6,60,tbcp,100.0
7,60,tbcp,73.97197685193557
8,60,tbcp,98.6097633894867
9,60,tbcp,100.0
10,60,tbcp,84.01921545080647
11,60,tbcp,80.78775442596678
12,60,tbcp,96.31754991419245
13,60,tbcp,72.02234932534405
14,60,tbcp,57.36166791208415
15,60,tbcp,98.98602437889316
16,60,tbcp,100.0
17,60,tbcp,100.0
18,60,tbcp,89.90502115000967
19,60,tbcp,82.41165392181497
20,60,tbcp,92.06308970998766
21,60,tbcp,73.15712491282059
22,60,tbcp,58.77201770926955
23,60,tbcp,70.48217498471261
24,60,tbcp,100.0
25,60,tbcp,78.57023650580074
26,60,tbcp,47.239197649802584
27,60,tbcp,70.31101961510512
28,60,tbcp,92.39295472387454
29,60,tbcp,88.3762657003968
30,60,tbcp,89.46865154246974
1,0,leach,58.83073005722831
2,0,leach,77.9666924576794
3,0,leach,91.85840218917258
4,0,leach,69.20673010027662
5,0,leach,93.28496500875744
6,0,leach,62.90338252138281
7,0,leach,84.54204644906817
8,0,leach,75.01963930350372
9,0,leach,87.58441295068762
10,0,leach,73.65393743363963
11,0,leach,98.34917355670744
12,0,leach,62.99182278077716
13,0,leach,75.64581179812656
14,0,leach,65.93330471845859
15,0,leach,84.42239207571771
16,0,leach,61.064707636065
17,0,leach,74.69561448762619
18,0,leach,70.07663357569206
19,0,leach,60.363380818334974
20,0,leach,85.04806529496888
21,0,leach,63.08485261322146
22,0,leach,89.90842680607318
23,0,leach,76.15711488453235
24,0,leach,100.0
25,0,leach,65.70553560119862
26,0,leach,64.4057325150479
27,0,leach,74.57611972827576
28,0,leach,85.31656423106963
29,0,leach,72.67123858522253
30,0,leach,84.83778874085144
1,20,leach,84.20017729195973
2,20,leach,76.29641731426891
3,20,leach,41.78922563692029
4,20,leach,80.77597009991277
5,20,leach,79.56736947150496
6,20,leach,74.20809225867461
7,20,leach,59.91011050000199
8,20,leach,65.7765186167307
9,20,leach,75.78129981570032
10,20,leach,71.39234960222839
11,20,leach,76.81497809653764
12,20,leach,73.44032232864203
13,20,leach,79.11096037703888
14,20,leach,65.59617442919568
15,20,leach,91.24512602579061
16,20,leach,61.96200473647964
17,20,leach,41.00957921322503
18,20,leach,94.835527726768
19,20,leach,66.0352765761679
20,20,leach,83.97058392644281
21,20,leach,72.20298744287813
22,20,leach,83.45298953783998
23,20,leach,60.82923259278334
24,20,leach,86.65926050796936
25,20,leach,79.3312777911397
26,20,leach,75.23598592545005
27,20,leach,97.82507284236257
28,20,leach,97.83329818577788
29,20,leach,72.92539136553972
30,20,leach,90.88829003250362
1,40,leach,100.0
2,40,leach,58.067070296788735
3,40,leach,72.86601653513056
4,40,leach,73.33093164050358
5,40,leach,83.7400957433821
6,40,leach,81.00018361739677
7,40,leach,97.26609624892237
8,40,leach,45.81579958492432
9,40,leach,65.16920672493009
10,40,leach,71.42165388901367
11,40,leach,93.30662569611388
12,40,leach,91.53942031161726
13,40,leach,76.65308698340866
14,40,leach,84.10920702586992
15,40,leach,82.4263989198197
16,40,leach,72.05513303175749
17,40,leach,83.43455577382817
18,40,leach,72.72256750884343
19,40,leach,100.0
20,40,leach,98.50373109352309
21,40,leach,76.77807245312673
22,40,leach,88.334142781538
23,40,leach,100.0
24,40,leach,76.3258244434494
25,40,leach,64.94678166865766
26,40,leach,82.98631033985123
27,40,leach,96.9752075780844
28,40,leach,58.07917014498736
29,40,leach,76.22323395076056
30,40,leach,68.01662289227923
1,60,leach,79.60789970953799
2,60,leach,56.641481527498314
3,60,leach,61.248528538727236
4,60,leach,100.0
5,60,leach,68.22154575695384
6,60,leach,67.32626814878557
7,60,leach,87.25699460032361
8,60,leach,61.496229884071184
9,60,leach,86.9468037093257
10,60,leach,92.78717640276056
11,60,leach,87.71639298391467
12,60,leach,66.4950704719483
13,60,leach,65.07933112827948
14,60,leach,99.83647567766747
15,60,leach,79.4858863234853
16,60,leach,95.1318403091424
17,60,leach,87.26779293819736
18,60,leach,70.37601693309709
19,60,leach,77.32874974156184
20,60,leach,61.80810568646629
21,60,leach,75.67153018650143
22,60,leach,61.489866844430715
23,60,leach,93.98204360607966
24,60,leach,87.22765911581183
25,60,leach,96.20905297441126
26,60,leach,91.97640594210138
27,60,leach,71.88135632798559
28,60,leach,65.4889029360745
29,60,leach,68.14212301757473
30,60,leach,95.73073129805385
